episode: 6150 	finetune acc:0.975000 		test acc:0.973437
episode: 6180 	finetune acc:0.981250 		test acc:0.957812
episode: 6210 	finetune acc:0.981250 		test acc:0.970312
episode: 6240 	finetune acc:0.981250 		test acc:0.970312
episode: 6270 	finetune acc:0.937500 		test acc:0.957812
episode: 6300 	finetune acc:0.981250 		test acc:0.950000
episode: 6330 	finetune acc:0.962500 		test acc:0.973437
episode: 6360 	finetune acc:0.950000 		test acc:0.973437
episode: 6390 	finetune acc:0.956250 		test acc:0.964062
episode: 6420 	finetune acc:0.925000 		test acc:0.962500
episode: 6450 	finetune acc:0.993750 		test acc:0.956250
episode: 6480 	finetune acc:0.962500 		test acc:0.962500
episode: 6510 	finetune acc:0.962500 		test acc:0.965625
episode: 6540 	finetune acc:0.962500 		test acc:0.971875
episode: 6570 	finetune acc:0.937500 		test acc:0.960938
episode: 6600 	finetune acc:0.962500 		test acc:0.964062
episode: 6630 	finetune acc:0.950000 		test acc:0.979688
episode: 6660 	finetune acc:0.956250 		test acc:0.971875
episode: 6690 	finetune acc:0.962500 		test acc:0.957812
episode: 6720 	finetune acc:0.987500 		test acc:0.959375
episode: 6750 	finetune acc:0.950000 		test acc:0.970312
episode: 6780 	finetune acc:0.968750 		test acc:0.976562
episode: 6810 	finetune acc:0.962500 		test acc:0.960938
episode: 6840 	finetune acc:0.956250 		test acc:0.960937
episode: 6870 	finetune acc:0.968750 		test acc:0.970312
episode: 6900 	finetune acc:0.987500 		test acc:0.956250
episode: 6930 	finetune acc:0.962500 		test acc:0.962500
episode: 6960 	finetune acc:0.937500 		test acc:0.967188
episode: 6990 	finetune acc:0.981250 		test acc:0.967187
episode: 7020 	finetune acc:0.987500 		test acc:0.973438
episode: 7050 	finetune acc:0.987500 		test acc:0.971875
episode: 7080 	finetune acc:0.975000 		test acc:0.978125
episode: 7110 	finetune acc:0.956250 		test acc:0.976562
episode: 7140 	finetune acc:0.962500 		test acc:0.945312
episode: 7170 	finetune acc:0.987500 		test acc:0.968750
episode: 7200 	finetune acc:0.968750 		test acc:0.970313
episode: 7230 	finetune acc:0.987500 		test acc:0.964063
episode: 7260 	finetune acc:0.950000 		test acc:0.965625
episode: 7290 	finetune acc:0.975000 		test acc:0.964062
episode: 7320 	finetune acc:0.956250 		test acc:0.957812
episode: 7350 	finetune acc:0.925000 		test acc:0.968750
episode: 7380 	finetune acc:0.981250 		test acc:0.976563
episode: 7410 	finetune acc:0.968750 		test acc:0.971875
episode: 7440 	finetune acc:0.968750 		test acc:0.951562
episode: 7470 	finetune acc:0.962500 		test acc:0.973437
episode: 7500 	finetune acc:0.975000 		test acc:0.965625
episode: 7530 	finetune acc:0.975000 		test acc:0.971875
episode: 7560 	finetune acc:0.943750 		test acc:0.978125
episode: 7590 	finetune acc:0.962500 		test acc:0.978125
episode: 7620 	finetune acc:0.931250 		test acc:0.975000
episode: 7650 	finetune acc:0.981250 		test acc:0.957812
episode: 7680 	finetune acc:0.975000 		test acc:0.967187
episode: 7710 	finetune acc:0.937500 		test acc:0.971875
episode: 7740 	finetune acc:0.968750 		test acc:0.970312
episode: 7770 	finetune acc:0.962500 		test acc:0.965625
episode: 7800 	finetune acc:0.962500 		test acc:0.956250
episode: 7830 	finetune acc:0.956250 		test acc:0.948437
episode: 7860 	finetune acc:0.950000 		test acc:0.957812
episode: 7890 	finetune acc:0.918750 		test acc:0.975000
episode: 7920 	finetune acc:0.975000 		test acc:0.981250
episode: 7950 	finetune acc:0.987500 		test acc:0.962500
episode: 7980 	finetune acc:0.975000 		test acc:0.971875
episode: 8010 	finetune acc:0.993750 		test acc:0.979687
episode: 8040 	finetune acc:0.950000 		test acc:0.981250
episode: 8070 	finetune acc:0.962500 		test acc:0.965625
episode: 8100 	finetune acc:0.943750 		test acc:0.957812
episode: 8130 	finetune acc:0.962500 		test acc:0.970313
episode: 8160 	finetune acc:0.981250 		test acc:0.965625
episode: 8190 	finetune acc:0.937500 		test acc:0.965625
episode: 8220 	finetune acc:0.968750 		test acc:0.967187
episode: 8250 	finetune acc:0.981250 		test acc:0.968750
episode: 8280 	finetune acc:0.987500 		test acc:0.967188
episode: 8310 	finetune acc:0.962500 		test acc:0.957812
episode: 8340 	finetune acc:0.937500 		test acc:0.965625
episode: 8370 	finetune acc:0.968750 		test acc:0.970312
episode: 8400 	finetune acc:0.950000 		test acc:0.982812
episode: 8430 	finetune acc:0.925000 		test acc:0.970313
episode: 8460 	finetune acc:0.950000 		test acc:0.978125
episode: 8490 	finetune acc:0.937500 		test acc:0.959375
episode: 8520 	finetune acc:0.968750 		test acc:0.962500
episode: 8550 	finetune acc:0.962500 		test acc:0.978125
episode: 8580 	finetune acc:0.950000 		test acc:0.967188
episode: 8610 	finetune acc:0.981250 		test acc:0.964062
episode: 8640 	finetune acc:0.968750 		test acc:0.967187
